manufacturer,price,number_of_reviews,average_review_rating,sellers,cat,sub_cat,name,info,desc,reviews
84,4.49,1.0,5.0,410,14,46,-2.9020283,-1.0724161,-0.9178704,6.0222564
1649,39.75,6.0,5.0,1203,14,46,-0.80294234,-1.5982167,-2.8871624,-1.8464888
1227,16.94,9.0,4.9,604,32,69,-4.8293366,5.7362833,-1.7475724,-2.516051
291,9.02,2.0,4.5,1008,12,37,1.5446727,-0.7804557,-1.9140562,2.6862154
1568,49.49,2.0,5.0,668,13,48,-1.8086756,-1.4170789,-1.9752225,-0.44806597
1903,14.03,6.0,4.0,1822,5,134,-1.3601567,5.712475,-2.011598,-1.9830807
1390,2.94,512.0,4.2,1602,32,64,-7.07176,-1.2977356,-1.1678877,-1.4681066
653,2.95,44.0,4.2,1822,29,10,1.0561694,-1.1733891,-1.6891389,-3.669993
453,12.98,40.0,4.6,1822,5,39,0.6432116,5.2193074,-0.38581493,-3.2141416
1883,1.01,53.0,4.1,1822,1,107,-2.5102632,-1.348726,-1.5335792,-1.8673977
702,10.0,2.0,4.5,471,14,46,6.9848676,-0.8995265,22.461107,-2.3420615
1907,9.02,2.0,4.0,1810,17,121,-0.32327515,-1.5742671,-0.32300517,-1.7023057
51,6.99,1.0,5.0,1822,17,142,2.1860805,-1.0477924,-0.25930113,2.4958844
753,4.95,1.0,5.0,81,0,29,-1.272236,-1.6872256,-0.6749633,4.4583893
934,89.99,1.0,5.0,1822,17,93,3.5696015,-1.5000314,-1.7594639,6.787565
562,19.22,1.0,4.0,212,17,33,-2.2929616,-1.0221405,-2.5060637,-5.0933948
1215,3.41,3.0,4.0,855,17,142,0.17386717,5.979469,-3.473101,-3.2490647
1594,4.0,2.0,5.0,1087,14,46,5.705552,-1.3720145,-1.625274,4.0353656
1040,0.37,2.0,5.0,1822,0,97,3.1011407,-1.2495338,-1.9059205,0.48406887
1433,7.44,9.0,4.7,214,7,140,-5.447961,-1.1388615,-3.9850106,0.10629611
1982,26.95,17.0,4.5,52,14,22,0.9816729,-0.87853074,-2.66764,-3.7527075
546,30.0,30.0,4.3,81,5,49,-2.033331,-1.4127604,-1.5817819,-3.5905395
1632,5.4,1.0,5.0,1115,14,23,-2.8619547,-1.0316739,-2.5946107,-3.011767
1504,5.99,8.0,4.1,1477,31,118,6.2419624,5.729073,-1.7712735,-1.4319773
1075,4.29,1.0,5.0,351,0,97,1.8278754,-1.1457319,-2.0523648,4.0600095
682,21.79,1.0,5.0,419,40,151,-3.2102795,5.775117,-1.6579163,-4.368195
1131,8.99,5.0,4.4,1822,9,122,-0.9772092,-1.2643719,-2.1184962,-1.2135468
2233,14.36,1.0,4.0,372,5,3,0.5107368,-1.0810438,-0.5561329,1.4545188
856,22.39,76.0,4.6,190,34,80,2.3173985,-1.4310032,-1.7084137,-4.58539
1957,4.28,10.0,4.0,1822,14,56,3.0372975,-1.274749,-2.3887186,-1.9859337
1760,6.9,4.0,4.5,1144,7,140,1.931387,-1.4215678,-2.329623,2.7285638
266,4.99,2.0,4.0,1392,5,19,-2.3300302,-0.85180527,-2.5124674,-2.499057
1223,12.2,2.0,4.0,676,7,140,5.895778,6.32094,-1.6614293,-1.5815973
771,5.49,1.0,4.0,511,17,121,1.1808486,-1.1778274,-1.4522382,0.41954872
1058,7.68,11.0,4.7,81,0,29,5.042891,-1.4674045,-2.7389507,-2.7332723
1606,3.8,1.0,5.0,1097,17,91,-2.405569,5.9411254,-1.9892005,5.7647243
1118,5.59,1.0,5.0,81,40,151,-0.8114328,-1.7604606,-1.3344544,2.4810264
18,15.0,1.0,5.0,1822,32,69,4.7367387,-1.2343098,-1.591166,1.36269
1710,16.99,6.0,4.5,726,40,151,-0.19406378,-1.136358,-2.395726,1.0431713
1974,12.25,3.0,4.7,1081,32,69,-0.5466383,5.685126,-2.052512,-4.7049856
1358,1.92,1.0,5.0,1822,9,51,2.575549,5.9072165,-1.7814039,4.065267
1819,28.4,1.0,4.0,1062,13,116,1.9187666,-1.0139742,-0.85906214,-3.656453
2246,3.75,9.0,4.4,576,17,142,3.2369173,-1.5870517,-1.1328783,-3.3182917
170,5.99,1.0,5.0,1822,17,110,-0.18924111,-1.364395,-0.86159176,6.7611327
503,45.0,1.0,4.0,1630,13,116,-0.6543441,-1.0040228,0.8238649,-4.503837
1433,10.95,1.0,5.0,81,7,140,-7.3292594,-1.4728247,-2.6733675,-3.6942573
867,19.46,6.0,4.0,653,13,1,0.33787468,-1.2376359,-1.9211934,-3.986671
